Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
Banco Central de Honduras,,,,,
Departamento de Operaciones Cambiarias,,,,,
"Ingresos por Remesas Familiares, Según  Municipio, 2020-2025",,,,,
(en USD),,,,,
,,,,,
AÑO,Mes,Departamento,Municipio,Monto,Beneficiario 
2020,Febrero,Francisco Morazán,Orica,208.33,2
2020,Febrero,Francisco Morazán,La Libertad,99.79,1
2020,Febrero,Francisco Morazán,San Ignacio,50,1
2020,Febrero,Cortés,San Pedro Sula,73722453.53998461,192274
2020,Febrero,Cortés,Choloma,5039936.95000002,18157
2020,Febrero,Cortés,Villanueva,3853961.47000002,14792
2020,Febrero,Cortés,Puerto Cortes,3744721.090000013,13230
2020,Febrero,Cortés,La Lima,2441624.430000004,8867
2020,Febrero,Cortés,Santa Cruz de Yojoa,1501265.790000001,5806
2020,Febrero,Cortés,Omoa,686964.6399999998,2670
2020,Febrero,Cortés,San Manuel,126626.17,336
2020,Febrero,Cortés,Potrerillos,24747,99
2020,Febrero,Cortés,San Antonio de Cortes,13969.38,92
2020,Febrero,Cortés,San Francisco de Yojoa,1021.95,4
2020,Febrero,Cortés,Pimienta,239.53,1
2020,Febrero,Atlántida,La Ceiba,18002211.37999991,45792
2020,Febrero,Atlántida,Tela,3077547.870000007,9605
2020,Febrero,Atlántida,La Masica,1042246.96,4086
2020,Febrero,Atlántida,Jutiapa,277427.91,1326
2020,Febrero,Atlántida,Arizona,11912.77,47
2020,Febrero,Atlántida,Esparta,1810.2,4
2020,Febrero,Atlántida,El Porvenir,906.15,5
2020,Febrero,Atlántida,San Francisco,560.01,2
2020,Febrero,Comayagua,Comayagua,14179554.68999999,27139
2020,Febrero,Comayagua,Siguatepeque,2932201.920000007,9514
2020,Febrero,Comayagua,Las Lajas,524515.61,1049
2020,Febrero,Comayagua,Taulabe,297116.4,1207
2020,Febrero,Comayagua,San Jeronimo,208037.87,476
2020,Febrero,Comayagua,La Libertad,203921.49,899
2020,Febrero,Comayagua,Villa de San Antonio,155736.8199999999,466
2020,Febrero,Comayagua,Ajuterique,60723.10000000001,185
2020,Febrero,Comayagua,Meambar,1996,1
2020,Febrero,Comayagua,Lamani,1945.56,3
2020,Febrero,Comayagua,San Luis,1621.6,3
2020,Febrero,Comayagua,Ojo de Agua,1319.96,3
2020,Febrero,Comayagua,Esquias,1000,1
2020,Febrero,Comayagua,San Jose del Potrero,656.69,1
2020,Febrero,Comayagua,El Rosario,550,2
2020,Febrero,Comayagua,San Sebastian,350,2
2020,Febrero,Comayagua,San Jose de Comayagua,349.84,2
2020,Febrero,Colón,Trujillo,10917920.1,19876
2020,Febrero,Colón,Tocoa,1806934.600000003,7234
2020,Febrero,Colón,Saba,1523303.85,5856
2020,Febrero,Colón,Sonaguera,1125624.55,4407
2020,Febrero,Colón,Bonito Oriental,370289.9399999997,1190
2020,Febrero,Colón,Santa Fe,66774.53999999998,234
2020,Febrero,Colón,Limon,1050,2
2020,Febrero,Colón,Iriona,135,2
2020,Febrero,Ocotepeque,Nueva Ocotepeque,14242583.64,22652
2020,Febrero,Ocotepeque,San Marcos,604408.1799999999,1719
2020,Febrero,Ocotepeque,La Encarnacion,238014,434
2020,Febrero,Ocotepeque,Concepcion,203518.15,329
2020,Febrero,Ocotepeque,Sinuapa,62513.00999999999,163
2020,Febrero,Ocotepeque,La Labor,8357,8
2020,Febrero,Ocotepeque,Belen de Gualcho,2017.22,2
2020,Febrero,Ocotepeque,San Jorge,1902.55,1
2020,Febrero,Ocotepeque,Sensenti,528.69,4
2020,Febrero,Ocotepeque,Lucerna,399.19,1
2020,Febrero,Ocotepeque,San Fernando,199.59,1
2020,Febrero,Choluteca,Choluteca,11030046.66000002,26277
2020,Febrero,Choluteca,Marcovia,712314.2799999998,2746
2020,Febrero,Choluteca,San Marcos de Colon,312080.3,1158
2020,Febrero,Choluteca,El Triunfo,86266.68,252
2020,Febrero,Choluteca,Namasigue,7193.690000000001,13
2020,Febrero,Choluteca,Pespire,2310.89,5
2020,Febrero,Choluteca,El Corpus,1556.41,7
2020,Febrero,Choluteca,Apacilagua,1536.98,4
2020,Febrero,Choluteca,Santa Ana de Yusguare,1460,3
2020,Febrero,Choluteca,Concepcion de Maria,592.56,3
2020,Febrero,Choluteca,Orocuina,448.2,4
2020,Febrero,Choluteca,San Jose,220,1
2020,Febrero,Choluteca,San Isidro,20.28,1
2020,Febrero,Yoro,El Progreso,5753392.800000029,21265
2020,Febrero,Yoro,Yoro,2027311.180000002,7529
2020,Febrero,Yoro,Morazan,1592621.820000001,5551
2020,Febrero,Yoro,Olanchito,1325700.12,5678
2020,Febrero,Yoro,Santa Rita,1150782.24,4888
2020,Febrero,Yoro,Victoria,138619.36,562
2020,Febrero,Yoro,Jocon,2696.98,6
2020,Febrero,Yoro,El Negrito,1609.7,6
2020,Febrero,Yoro,Yorito,1240,3
2020,Febrero,Yoro,Sulaco,189.03,2
2020,Febrero,Olancho,Juticalpa,7581209.510000008,17999
2020,Febrero,Olancho,Catacamas,2138099.860000005,8004
2020,Febrero,Olancho,Campamento,488743.36,1910
2020,Febrero,Olancho,Dulce Nombre de Culmi,314632.8300000001,1065
2020,Febrero,Olancho,San Esteban,303838.08,1089
2020,Febrero,Olancho,San Francisco de la Paz,131682.01,300
2020,Febrero,Olancho,Gualaco,115857.56,453
2020,Febrero,Olancho,Silca,25835.32,57
2020,Febrero,Olancho,La Union,1372.28,5
2020,Febrero,Olancho,Guarizama,1299.01,1
2020,Febrero,Olancho,Guayape,975.0899999999999,3
2020,Febrero,Olancho,Santa Maria del Real,878.4200000000001,3
2020,Febrero,Olancho,Guata,588.82,1
2020,Febrero,Olancho,Salama,499,1
2020,Febrero,Olancho,Concordia,181.61,1
2020,Febrero,Olancho,Manto,170,1
2020,Febrero,Olancho,San Francisco de Becerra,36.36,1
2020,Febrero,Copán,Santa Rosa de Copan,7561642.620000008,14208
2020,Febrero,Copán,Nueva Arcadia,2062708.610000003,7488
2020,Febrero,Copán,Santa Rita,439584.73,1766
2020,Febrero,Copán,Cucuyagua,399192.6299999999,1425
2020,Febrero,Copán,Copan Ruinas,167231.49,433
2020,Febrero,Copán,Corquin,81121.43000000001,155
2020,Febrero,Copán,Florida,9916.710000000001,67
2020,Febrero,Copán,Concepcion,4654.049999999999,5
2020,Febrero,Copán,Dulce Nombre,2102.99,8
2020,Febrero,Copán,San Nicolas,1824.36,4
2020,Febrero,Copán,San Antonio,1557.01,2
2020,Febrero,Copán,Dolores,1377.19,2
2020,Febrero,Copán,Cabañas,1147.8,2
2020,Febrero,Copán,El Paraiso,999.99,1
2020,Febrero,Copán,San Jose,743.79,2
2020,Febrero,Copán,La Jigua,400,2
2020,Febrero,Copán,San Juan de Opoa,330,1
2020,Febrero,Copán,San Pedro,103.48,2
2020,Febrero,Copán,Trinidad de Copan,98.42,1
2020,Febrero,Valle,Nacaome,6008360.040000012,13471
2020,Febrero,Valle,San Lorenzo,2180577.340000001,6776
2020,Febrero,Valle,Langue,2199.65,3
2020,Febrero,Valle,Alianza,1092.05,3
2020,Febrero,Valle,Aramecina,530.79,3
2020,Febrero,Valle,San Francisco de Coray,524.4100000000001,2
2020,Febrero,Valle,Amapala,354.48,3
2020,Febrero,Valle,Caridad,50,1
2020,Febrero,El Paraíso,Danli,3221550.680000005,9568
