"GID_1","NAME_1","GID_2","NAME_2","lon","lat"
"HND.8_1","Francisco Morazán","HND.8.18_1","San Buenaventura",-87.190621599278,13.8908237244586
"HND.8_1","Francisco Morazán","HND.8.19_1","San Ignacio",-87.0753591988957,14.7337872966844
"HND.8_1","Francisco Morazán","HND.8.20_1","San Juan de Flores",-86.9805352562191,14.2902849644305
"HND.8_1","Francisco Morazán","HND.8.21_1","San Miguelito",-87.495260827859,13.7487244804479
"HND.8_1","Francisco Morazán","HND.8.22_1","Santa Ana",-87.2267135320766,13.9216287998984
"HND.8_1","Francisco Morazán","HND.8.23_1","Santa Lucía",-87.103042597698,14.1198312063792
"HND.8_1","Francisco Morazán","HND.8.24_1","Talanga",-87.0800995903517,14.399435287798
"HND.8_1","Francisco Morazán","HND.8.25_1","Tatumbla",-87.0758941566786,13.9770516952908
"HND.8_1","Francisco Morazán","HND.8.26_1","Valle de Ángeles",-87.0227477769036,14.141989840801
"HND.8_1","Francisco Morazán","HND.8.27_1","Vallecillo",-87.3986201668518,14.5144544361653
"HND.8_1","Francisco Morazán","HND.8.28_1","Villa de San Francisco",-86.9610124391909,14.1840682853681
"HND.9_1","Gracias a Dios","HND.9.1_1","Ahuas",-84.3089166411082,15.4603967798193
"HND.9_1","Gracias a Dios","HND.9.2_1","Brus Laguna",-84.7071297266819,15.476783594369
"HND.9_1","Gracias a Dios","HND.9.3_1","Juan Francisco Bulnes",-84.9237662284333,15.7536066813006
"HND.9_1","Gracias a Dios","HND.9.4_1","Puerto Lempira",-84.0938458404287,15.0360458766396
"HND.9_1","Gracias a Dios","HND.9.5_1","Ramón Villeda Morales",-83.4013481290032,15.0809565733128
"HND.9_1","Gracias a Dios","HND.9.6_1","Wampusirpi",-84.6782287001571,15.0465622190715
"HND.10_1","Intibucá","HND.10.1_1","Camasca",-88.3854988956073,13.9857241072889
"HND.10_1","Intibucá","HND.10.2_1","Colomoncagua",-88.27495372214,13.9631432000342
"HND.10_1","Intibucá","HND.10.3_1","Concepción",-88.3195996901383,14.0356716143114
"HND.10_1","Intibucá","HND.10.4_1","Dolores",-88.3526760976259,14.2473107729118
"HND.10_1","Intibucá","HND.10.5_1","Intibucá",-88.1482398364116,14.4191152955041
"HND.10_1","Intibucá","HND.10.6_1","Jesús de Otoro",-88.0149776342867,14.5131346285935
"HND.10_1","Intibucá","HND.10.7_1","La Esperanza",-88.1300162581247,14.2378211258678
"HND.10_1","Intibucá","HND.10.8_1","Magdalena",-88.3714941119909,13.9211017232382
"HND.10_1","Intibucá","HND.10.9_1","Masaguara",-87.9662735594375,14.3734676890829
"HND.10_1","Intibucá","HND.10.10_1","San Antonio",-88.4645320095763,13.9294085399274
"HND.10_1","Intibucá","HND.10.11_1","San Francisco de Opalaca",-88.2778869100281,14.5246671283786
"HND.10_1","Intibucá","HND.10.12_1","San Isidro",-88.1160789759692,14.5513422727281
"HND.10_1","Intibucá","HND.10.13_1","San Juan",-88.4185418005747,14.4048787139046
"HND.10_1","Intibucá","HND.10.14_1","San Marcos de la Sierra",-88.2444941066337,14.120957621306
"HND.10_1","Intibucá","HND.10.15_1","San Miguelito",-88.340562236367,14.3426493973985
"HND.10_1","Intibucá","HND.10.16_1","Santa Lucía",-88.4196738953094,13.9027686134761
"HND.10_1","Intibucá","HND.10.17_1","Yamaranguila",-88.2437955970105,14.2508128650891
"HND.11_1","Islas de la Bahía","HND.11.1_1","Guanaja",-85.8836809568622,16.4683266188559
"HND.11_1","Islas de la Bahía","HND.11.2_1","José Santos Guardiola",-86.3053393254123,16.4122324988674
"HND.11_1","Islas de la Bahía","HND.11.3_1","Roatán",-86.4953826826971,16.3304084677566
"HND.11_1","Islas de la Bahía","HND.11.4_1","Utila",-86.9320851032376,16.0978914734753
"HND.12_1","La Paz","HND.12.1_1","Aguaqueterique",-87.6507433566052,13.9721943770154
"HND.12_1","La Paz","HND.12.2_1","Cabañas",-88.0137165324982,13.9796030308425
"HND.12_1","La Paz","HND.12.3_1","Cane",-87.6867896287461,14.2725732535006
"HND.12_1","La Paz","HND.12.4_1","Chinacla",-87.9541465808079,14.1718774478132
"HND.12_1","La Paz","HND.12.5_1","Guajiquiro",-87.785480730773,14.0686780933111
"HND.12_1","La Paz","HND.12.6_1","La Paz",-87.7548869040727,14.299391217605
"HND.12_1","La Paz","HND.12.7_1","Lauterique",-87.6613213301077,13.8523438121836
"HND.12_1","La Paz","HND.12.8_1","Marcala",-88.0331700493319,14.1307898521292
"HND.12_1","La Paz","HND.12.9_1","Mercedes de Oriente",-87.7772920274418,13.9090855761701
"HND.12_1","La Paz","HND.12.10_1","Opatoro",-87.8702588889653,14.016725332159
"HND.12_1","La Paz","HND.12.11_1","San Antonio del Norte",-87.7178443137891,13.8842456888442
