codDepto,codMun,ADM1_ES,ADM2_ES,T_TL,lon,lat
14,14,Ocotepeque,Santa Fe,5777,-89.2834166415984,14.4810522873788
14,15,Ocotepeque,Sensenti,12547,-88.9247486396008,14.4893345946554
14,16,Ocotepeque,Sinuapa,11356,-89.116182858438,14.4360139634533
15,2,Olancho,Campamento,25832,-86.6548168333538,14.4810979924164
15,3,Olancho,Catacamas,142721,-85.5551857799918,14.5813965821427
15,4,Olancho,Concordia,9042,-86.7263659633985,14.6375625356585
15,5,Olancho,Dulce Nombre de Culmi,32778,-85.2955179714126,15.0528273389059
15,6,Olancho,El Rosario,4360,-86.7138996064034,14.8845802113524
15,7,Olancho,Esquipulas del Norte,14203,-86.5740192497611,15.2735499523129
15,8,Olancho,Gualaco,24032,-86.0765961867006,15.1924243448787
15,9,Olancho,Guarizama,8293,-86.2970586824821,14.8951208801575
15,10,Olancho,Guata,13310,-86.3834374492868,15.1549167569633
15,11,Olancho,Guayape,14068,-86.8486904816948,14.7898303950753
15,12,Olancho,Jano,6115,-86.5428509949972,15.0662009204501
15,1,Olancho,Juticalpa,152697,-86.3252432943878,14.5401342581564
15,13,Olancho,La Union,8682,-86.6991565883077,15.0751017961435
15,14,Olancho,Mangulile,9505,-86.8565778558349,15.1170334234205
15,15,Olancho,Manto,11980,-86.4135504457304,14.8660779022899
15,23,Olancho,Patuca,29027,-85.9682611524154,14.3172465601433
15,16,Olancho,Salama,8421,-86.6529091169168,14.8122206516006
15,17,Olancho,San Esteban,28553,-85.7145305533952,15.3054548096176
15,18,Olancho,San Francisco de Becerra,11976,-86.0401607258753,14.6084623267478
15,19,Olancho,San Francisco de La Paz,21862,-86.1327955951909,14.8382912565538
15,20,Olancho,Santa Maria del Real,11128,-85.9596247750501,14.8114168264314
15,21,Olancho,Silca,8390,-86.5479713063767,14.7499490330375
15,22,Olancho,Yocon,13832,-86.8328025798553,14.9487494099681
16,2,Santa Barbara,Arada,11972,-88.333462347068,14.8363725552166
