Year,codDeptoNac,codMunNac,codDepto,codMun,in_city,capital,sps,other_main,N,USD
2020,1,6,2,9,0,0,0,0,57,36519.31
2020,1,6,8,6,0,0,0,0,4,5839.31
2020,1,6,18,6,0,0,0,0,7,6363.75
2020,1,6,5,10,0,0,0,0,7,6659.29
2020,1,6,11,2,0,0,0,0,3,778
2020,1,6,6,2,0,0,0,0,1,121.01
2020,1,6,4,13,0,0,0,0,8,4738.54
2020,1,6,16,19,0,0,0,0,1,50.01
2020,1,6,17,9,0,0,0,0,3,411.9
2020,1,6,2,3,0,0,0,0,2,539.86
2020,1,6,18,4,0,0,0,0,78,55949.54
2020,1,6,8,1,0,1,0,0,1749,2117963.29
2020,1,6,2,6,0,0,0,0,4,1420.04
2020,1,6,18,1,0,0,0,1,18,13023.89
2020,1,6,18,8,0,0,0,0,17,9746.67
2020,1,6,16,14,0,0,0,0,1,7
2020,1,6,3,18,0,0,0,0,14,37959.39
2020,1,6,3,21,0,0,0,0,1,200
2020,1,6,4,4,0,0,0,0,1,253
2020,1,6,5,3,0,0,0,0,17,11262.61
2020,1,6,10,2,0,0,0,0,1,1070
2020,1,6,8,27,0,0,0,0,1,844
2020,1,6,3,1,0,0,0,1,31,30609.62
2020,1,6,5,1,0,0,1,0,1370,1220976.56
2020,1,6,2,10,0,0,0,0,16,5787.09
2020,1,6,1,4,0,0,0,0,19,7153.42
2020,1,6,2,1,0,0,0,1,164,259074.37
2020,1,6,15,17,0,0,0,0,4,8426.94
2020,1,7,15,17,0,0,0,0,13,5100.23
2020,1,7,6,7,0,0,0,0,4,4405.27
2020,1,7,5,5,0,0,0,0,1,10
2020,1,7,10,2,0,0,0,0,8,2859.9
2020,1,7,1,5,0,0,0,0,851,790081.83
2020,1,7,6,15,0,0,0,0,4,1479
2020,1,7,14,3,0,0,0,0,4,1209
2020,1,7,5,10,0,0,0,0,133,124267.88
2020,1,7,8,3,0,0,0,0,3,714.51
2020,1,7,1,8,0,0,0,0,26,12573.28
2020,1,7,4,4,0,0,0,0,7,8408.01
